workerid,proliferate.condition,age,gender,race,error
3068,condition 1,24,Male,other_race,
3073,condition 1,36,Male,White,
3050,condition 1,31,Male,White,
3057,condition 1,31,Female,White,
3064,condition 1,35,Female,White,
3072,condition 1,31,Female,White,
3034,condition 1,32,Male,White,
3066,condition 1,26,Male,Asian,
3081,condition 1,35,Female,White,
3083,condition 1,45,Male,White,
3070,condition 1,26,Female,Asian,
3026,condition 1,25,Female,Asian,
3039,condition 1,22,Female,Black/African American,
3031,condition 1,28,Female,Black/African American,
3090,condition 1,37,Male,Asian,
3079,condition 1,33,Female,White,
3092,condition 1,30,Male,Asian,
3077,condition 1,24,Male,White,
3042,condition 1,34,Male,White,
3065,condition 1,20,Male,White,
3035,condition 1,60,Male,White,
3055,condition 1,38,Female,White,
3087,condition 1,62,Female,White,
3033,condition 1,27,Male,White,
3082,condition 1,50,Male,White,
3030,condition 1,45,Female,White,
3047,condition 1,45,Male,White,
3062,condition 1,20,Male,White,
3056,condition 1,21,Female,Asian,
3076,condition 1,34,Male,White,
3067,condition 1,24,Female,White,
3028,condition 1,19,Male,White,
3080,condition 1,60,Male,White,
3044,condition 1,69,Male,White,
3058,condition 1,62,Female,White,
3093,condition 1,20,Male,White,
3060,condition 1,33,Male,White,
3086,condition 1,20,Non-binary,White,
3078,condition 1,38,,White,
3038,condition 1,54,Female,White,
3088,condition 1,46,Female,White,
3054,condition 1,63,Male,White,
3091,condition 1,30,Female,White,
3048,condition 1,31,Male,White,
3046,condition 1,31,Male,White,
3075,condition 1,31,Female,White,
3040,condition 1,30,,,
3051,condition 1,58,Female,White,
3069,condition 1,34,Male,White,
3043,condition 1,24,Female,White,
3032,condition 1,22,Male,White,
3089,condition 1,44,Female,White,
3037,condition 1,20,Female,White,
3029,condition 1,23,Male,other_race,
3045,condition 1,38,Male,White,
3036,condition 1,20,Male,White,
3085,condition 1,41,Female,,
3084,condition 1,69,Female,White,
3053,condition 1,39,Male,White,
3071,condition 1,34,Male,White,
3059,condition 1,63,Female,White,